Hang_Seller,Seller_ID,Tong_Doanh_Thu,So_Luong_Don_Hang,So_Luong_San_Pham_Ban,Doanh_Thu_Trung_Binh_Moi_Dong
63,b839e41795b7f3ad94cc2014a52f6796,43749.93,33,36,1215.28
64,c3867b4666c7d76867627c2f7fb22e21,41910.76,243,257,163.08
65,dbc22125167c298ef99da25668e1011f,41580.03,403,426,97.61
66,1835b56ce799e6a4dc4eddc053f04066,41521.66,415,548,75.77
67,7299e27ed73d2ad986de7f7c77d919fa,41515.98,337,360,115.32
68,7178f9f4dd81dcef02f62acdf8151e01,41333.36,202,215,192.25
69,c70c1b0d8ca86052f45a432a38b73958,40110.75,259,335,119.73
70,53e4c6e0f4312d4d2107a8c9cddf45cd,39918.09,472,521,76.62
71,855668e0971d4dfd7bef1b6a4133b41b,39880.48,310,325,122.71
72,e9bc59e7b60fc3063eb2290deda4cced,38525.62,213,266,144.83
73,87142160b41353c4e5fca2360caf6f92,37952.09,302,336,112.95
74,0241d4d5d36f10f80c644447315af0bd,37761.04,233,241,156.68
75,59417c56835dd8e2e72f91f809cd4092,37657.77,18,18,2092.1
76,76d5af76d0271110f9af36c92573f765,37541.56,131,159,236.11
77,88460e8ebdecbfecb5f9601833981930,36360.08,247,300,121.2
78,2528513dd95219a6013d4d05176e391a,36050.57,159,165,218.49
79,70a12e78e608ac31179aea7f8422044b,36004.34,313,326,110.44
80,9c0e69c7bf2619675bbadf47b43f655a,35978.35,155,203,177.23
81,1554a68530182680ad5c8b042c3ab563,35794.44,246,268,133.56
82,7681ef142fd2c19048da7430856b5588,34857.93,59,77,452.7
83,70eea00b476a314817cefde4aad4f89a,34410.09,106,112,307.23
84,5c243662ce92d84573bfaff24c3e3700,34203.23,97,99,345.49
85,e59aa562b9f8076dd550fcddf0e73491,33803.97,70,84,402.43
86,001cca7ae9ae17fb1caed9dfb1094831,33772.94,199,238,141.9
87,1900267e848ceeba8fa32d80c1a5f5a8,33120.59,411,529,62.61
88,9f505651f4a6abe901a56cdc21508025,32282.95,394,427,75.6
89,0b90b6df587eb83608a64ea8b390cf07,32207.64,164,210,153.37
90,d1c281d3ae149232351cd8c8cc885f0d,32158.29,214,239,134.55
91,d23019c84ffae2d5ef2270367b8605fc,31954.84,39,39,819.35
92,59b22a78efb79a4797979612b885db36,31913.84,123,130,245.49
93,a3a38f4affed601eb87a97788c949667,31581.13,252,261,121.0
94,900ba814c251a692506d7834c1218441,31467.94,88,88,357.59
95,8b321bb669392f5163d04c59e235e066,31407.88,937,1010,31.1
96,16090f2ca825584b5a147ab24aa30c86,31055.27,399,407,76.3
97,12b9676b00f60f3b700e83af21824c0e,30342.69,135,135,224.76
98,d2374cbcbb3ca4ab1086534108cc3ab7,30164.1,516,622,48.5
99,7e1fb0a3ebfb01ffb3a7dae98bf3238d,29966.56,157,172,174.22
100,c003204e1ab016dfa150abc119207b24,29850.89,197,202,147.78
101,b32be1695eb7ec5f10f72d9610a12527,29831.02,45,46,648.5
102,897060da8b9a21f655304d50fd935913,29780.77,314,427,69.74
103,dc4a0fc896dc34b0d5bfec8438291c80,28615.79,230,248,115.39
104,a416b6a846a11724393025641d4edd5e,28600.1,161,180,158.89
105,de23c3b98a88888289c6f5cc1209054a,28526.09,162,178,160.26
106,710e3548e02bc1d2831dfc4f1b5b14d4,27551.21,135,141,195.4
107,1a3df491d1c4f1589fc2b934ada68bf2,27509.86,166,177,155.42
108,f62d7bb4a613ec758a03342d46b580b2,26790.59,32,32,837.21
109,1c68394e931a64f90ea236c5ea590300,26730.02,139,167,160.06
110,b94cc9f10ddc85e4ba73a6f7974e7101,26368.49,39,39,676.12
111,7ad32824caee82087b3e2e5f33b1bf32,25513.08,149,182,140.18
112,729f06993dac8e860d4f02d7088ca48a,25479.65,96,115,221.56
113,b1b3948701c5c72445495bd161b83a4c,25185.49,18,18,1399.19
114,612170e34b97004b3ba37eae81836b4c,25147.98,106,109,230.72
115,8444e55c1f13cd5c179851e5ca5ebd00,24951.27,99,109,228.91
116,8f2ce03f928b567e3d56181ae20ae952,24729.7,149,171,144.62
117,b37c4c02bda3161a7546a4e6d222d5b2,24487.6,4,15,1632.51
118,2b3e4a2a3ea8e01938cabda2a3e5cc79,24470.39,51,53,461.71
119,744dac408745240a2c2528fb1b6028f3,24143.6,78,83,290.89
120,06e5eefc71ec47ae763c5c6f8db7064f,24008.18,90,93,258.15
121,85d9eb9ddc5d00ca9336a2219c97bb13,23835.57,505,518,46.01
122,40db9e9aa57f7bb151bcda6b0f9bdbb7,23823.99,12,12,1985.33
123,59fb871bf6f4522a87ba567b42dafecf,23754.76,126,128,185.58
124,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,23695.2,20,20,1184.76
125,0dd184061fb0eaa7ca37932c68ab91c5,23589.85,159,191,123.51
126,f45122a9ab94eb4f3f8953578bc0c560,23281.43,185,198,117.58
127,05ff92fedb5be47920fea08e501238b9,23183.81,57,60,386.4
128,00ee68308b45bc5e2660cd833c3f81cc,23175.49,133,170,136.33
129,004c9cd9d87a3c30c522c48c4fc07416,22966.44,156,168,136.71
130,7b0df942f46435babab05d49b744b2c4,22854.43,31,31,737.24
131,f457c46070d02cadd8a68551231220dd,22721.6,198,233,97.52
132,bfd27a966d91cfaafdb25d076585f0da,22524.87,116,117,192.52
133,48162d548f5b1b11b9d29d1e01f75a61,22430.07,67,90,249.22
134,dc317f341ab0e22f39acbd9dbf9b4a1f,21874.05,54,57,383.76
135,128639473a139ac0f3e5f5ade55873a5,21587.26,530,557,38.76
136,44073f8b7e41514de3b7815dd0237f4f,21578.81,142,151,142.91
137,41b39e28db005d9731d9d485a83b4c38,20875.29,194,230,90.76
138,0c8380b62e38e8a1e6adbeba7eb9688c,20781.15,178,216,96.21
139,cd68562d3f44870c08922d380acae552,20777.19,125,132,157.4
140,821fb029fc6e495ca4f08a35d51e53a5,20740.25,28,29,715.18
141,86ccac0b835037332a596a33b6949ee1,20588.6,180,210,98.04
142,54a1852d1b8f10312c55e906355666ee,20496.3,199,203,100.97
143,fa40cc5b934574b62717c68f3d678b6d,20421.76,304,337,60.6
144,7aa4334be125fcdd2ba64b3180029f14,20387.78,216,238,85.66
145,d650b663c3b5f6fb392b6326366efa9a,20153.04,60,60,335.88
146,96493fab2fbb13a14d0c0e8772eef5c3,20066.78,62,63,318.52
147,76d64c4aca3a7baf218bf93ef7fa768d,20037.46,63,68,294.67
148,527801b552d0077ffd170872eb49683b,20005.36,90,92,217.45
149,1e8b33f18b4f7598d87f5cbee2282cc2,19736.2,121,138,143.02
150,c33847515fa6305ce6feb1e818569f13,19510.09,112,126,154.84
151,2a5b78b41cd05baeac8df54c6606b92c,19340.77,48,59,327.81
152,2a84855fd20af891be03bc5924d2b453,19102.12,162,166,115.07
153,165fc07beebdcb6190fba8a06db2a449,19081.43,50,64,298.15
154,4b9750c8ad28220fe6702d4ecb7c898f,19038.56,215,219,86.93
155,4c2b230173bb36f9b240f2b8ac11786e,18869.64,259,344,54.85
156,9de4643a8dbde634fe55621059d92273,18798.71,71,80,234.98
157,c72de06d72748d1a0dfb2125be43ba63,18733.18,21,22,851.51
158,79ebd9a61bac3eaf882805ed4ecfa12a,18728.39,134,141,132.83
159,94144541854e298c2d976cb893b81343,18715.65,68,76,246.26
160,a888faf2d1baececa6baf9c3d603ee1f,18672.75,53,54,345.79
161,213b25e6f54661939f11710a6fddb871,18562.85,153,192,96.68
162,ef0ace09169ac090589d85746e3e036f,18538.95,129,140,132.42
163,4a3ccda38b2129705f3fb522db62ca31,18494.93,66,78,237.11
164,2138ccb85b11a4ec1e37afbd1c8eda1f,18426.25,396,429,42.95
165,abe42c5d03695b4257b5c6cbf4e6784e,18158.23,50,50,363.16
166,229c3efbfb0ea2058de4ccdfbc3d784a,17994.14,120,147,122.41
167,1b4c3a6f53068f0b6944d2d005c9fc89,17791.67,113,117,152.07
168,8ae520247981aa06bc94abddf5f46d34,17766.34,65,65,273.33
169,0adac9fbd9a2b63cccaac4f8756c1ca8,17703.73,109,141,125.56
170,66922902710d126a0e7d26b0e3805106,17581.07,151,156,112.7
171,01fdefa7697d26ad920e9e0346d4bd1b,17564.66,128,130,135.11
172,5cf13accae3222c70a9cac40818ae839,17308.75,148,155,111.67
173,e5a38146df062edaf55c38afa99e42dc,17155.97,120,124,138.35
174,ce248b21cb2adc36282ede306b7660e5,17108.47,64,65,263.21
175,d94a40fd42351c259927028d163af842,16916.97,99,108,156.64
176,d921b68bf747894be13a97ae52b0f386,16837.42,75,75,224.5
177,6d66611d7c44cc30ce351abc49a68421,16770.9,165,175,95.83
178,f9244d45189d3a3605499abddeade7d5,16607.42,21,21,790.83
179,1f1bb1f0859883505541bdd6606193e5,16562.87,27,29,571.13
180,669ae81880e08f269a64487cfb287169,16541.26,161,185,89.41
181,2e90cb1677d35cfe24eef47d441b7c87,16538.97,125,135,122.51
182,3b15288545f8928d3e65a8f949a28291,16513.69,104,121,136.48
183,6061155addc1e54b4cfb51c1c2a32ad8,16513.31,28,33,500.4
184,a673821011d0cec28146ea42f5ab767f,16490.14,129,146,112.95
185,c847e075301870dd144a116762eaff9a,16344.42,41,42,389.15
186,a3e9a2c700480d9bb01fba070ba80a0e,16235.44,129,143,113.53
187,8e6d7754bc7e0f22c96d255ebda59eba,16212.51,85,130,124.71
188,87b740daf17b5d1be335a64164ec6842,16182.38,13,13,1244.8
189,cfb1a033743668a192316f3c6d1d2671,16137.96,146,183,88.19
190,6039e27294dc75811c0d8a39069f52c0,16047.17,64,75,213.96
191,75d34ebb1bd0bd7dde40dd507b8169c3,15997.42,60,70,228.53
192,6edacfd9f9074789dad6d62ba7950b9c,15963.34,206,217,73.56
193,1f9ab4708f3056ede07124aad39a2554,15844.24,77,78,203.13
194,c3acdfac4e3e97ff87529454fbc03642,15842.63,11,11,1440.24
195,a5cba26a62b8b4d0145b68b841e62e7f,15818.0,53,54,292.93
196,440dd6ab244315c632130ecfb63827b1,15793.21,94,95,166.24
197,ac3508719a1d8f5b7614b798f70af136,15792.23,103,104,151.85
198,701938c450705b8ae65fc923b70f35c7,15792.12,75,112,141.0
199,05f51e13da97139648b8125c31e5f51b,15788.3,60,63,250.61
200,289cdb325fb7e7f891c38608bf9e0962,15639.29,110,126,124.12
201,530ec6109d11eaaf87999465c6afee01,15555.07,96,103,151.02
202,080199a181c46c657dc5aa235411be3b,15544.88,79,83,187.29
203,c31eff8334d6b3047ed34bebd4d62c36,15462.65,121,122,126.74
204,a7f13822ceb966b076af67121f87b063,15446.12,74,85,181.72
205,aba1721a889e04decc910aa13b768ef4,15352.47,83,92,166.87
206,b8bc237ba3788b23da09c0f1f3a3288c,15277.76,44,46,332.13
207,e2a1ac9bf33e5549a2a4f834e70df2f8,15200.56,5,5,3040.11
208,c6bda72e4dbf5c5866b13cb1810c6d03,15196.12,59,59,257.56
209,48436dade18ac8b2bce089ec2a041202,15183.64,138,151,100.55
210,cf8ab1616079e2793aa29d524df01bb1,15150.37,9,9,1683.37
211,0ea22c1cfbdc755f86b9b54b39c16043,15075.31,237,269,56.04
212,2e1c9f22be269ef4643f826c9e650a52,15057.78,166,172,87.55
213,a6bd7d1ccdac48c6b33b28596b7eb122,15046.63,16,16,940.41
214,431af27f296bc6519d890aa5a05fdb11,15024.38,115,123,122.15
215,0b35c634521043bf4b47e21547b99ab5,15008.74,51,78,192.42
216,e8b3a3a38279a82f0e5d006d5e5b7d2c,14916.39,87,92,162.13
217,ef506c96320abeedfb894c34db06f478,14855.42,322,338,43.95
218,e26901d5ab434ce92fd9b5c256820a4e,14837.07,200,219,67.75
219,813348c996469b40f2e028d5429d3495,14800.43,179,202,73.27
220,9e6229250fedbe05838fef417b74e7fb,14785.0,73,77,192.01
221,1ca7077d890b907f89be8c954a02686a,14765.0,113,135,109.37
222,ce7d1888639e6fb06b2749cbfdac1ff7,14712.42,77,83,177.26
223,2b1a40c1daabc6ca280c4b815c101841,14634.88,23,35,418.14
224,f08a5b9dd6767129688d001acafc21e5,14565.74,11,18,809.21
225,240b9776d844d37535668549a396af32,14452.65,36,36,401.46
226,610f72e407cdd7caaa2f8167b0163fd8,14429.45,16,17,848.79
227,34d1ca11b242c0fee2c834ae8d788566,14404.28,40,41,351.32
228,00fc707aaaad2d31347cf883cd2dfe10,14366.8,100,129,111.37
229,d05ae8f7a5bd1d2a690a44cd079e4e27,14324.96,77,80,179.06
230,d6b1ce66b035a475f00c017792ff9769,14315.88,92,108,132.55
231,d50d79cb34e38265a8649c383dcffd48,14255.05,69,69,206.59
232,cab85505710c7cb9b720bceb52b01cee,14230.11,205,208,68.41
233,0be8ff43f22e456b4e0371b2245e4d01,14172.51,159,177,80.07
234,8d956fec2e4337affcb520f56fd8cbfd,14154.37,209,226,62.63
235,95e03ca3d4146e4011985981aeb959b9,14147.28,174,192,73.68
236,ad97a199236354e53fcd91a5a913e9a2,14074.7,17,18,781.93
237,99eaacc9e6046db1c82b163c5f84869f,13981.06,65,69,202.62
238,80e6699fe29150b372a0c8a1ebf7dcc8,13973.32,97,99,141.14
239,e24fc9fcd865784fb25705606fe3dfe7,13966.71,52,56,249.41
240,7202e2ba20579a9bd1acb29e61fe71f6,13916.16,53,55,253.02
241,8cc6a0e5738e61a87b03c78b2ba9db4b,13838.22,24,26,532.24
242,b372ee768ed69e46ca8cdbd267aa7a38,13813.84,63,69,200.2
243,5a8e7d5003a1f221f9e1d6e411de7c23,13722.34,137,179,76.66
244,ff063b022a9a0aab91bad2c9088760b7,13699.36,91,93,147.3
245,c66dccfb3f109511246da627dd5a2498,13682.25,45,45,304.05
246,c8b0e2b0a7095e5d8219575d5e7e1181,13657.34,84,85,160.67
247,c60b801f2d52c7f7f91de00870882a75,13652.89,41,41,333.0
248,056b4ada5bbc2c50cc7842547dda6b51,13639.41,65,66,206.66
249,5d378b73ab7dd6f0418d743e5dcb0bd1,13636.28,7,7,1948.04
250,6e386f64c84e482f0b9abf960797ee1b,13563.66,30,30,452.12
251,6cd68b3ed6d59aaa9fece558ad360c0a,13563.25,147,155,87.5
252,1d8dbc4f32378d715c717c1c1fc57bae,13421.05,92,98,136.95
253,25e6ffe976bd75618accfe16cefcbd0d,13396.85,108,117,114.5
254,adbc26658d6c7b4b6219f9d934598091,13389.13,86,90,148.77
255,ed4acab38528488b65a9a9c603ff024a,13369.76,32,40,334.24
256,09f952a5f58d2285b0372551ae8f9b01,13346.46,50,56,238.33
257,039e6ad9dae79614493083e241147386,13273.42,5,5,2654.68
258,c510bc1718f0f2961eaa42a23330681a,13211.87,13,13,1016.3
259,ca3bd7cd9f149df75950150d010fe4a2,13171.37,71,138,95.44
260,d1b65fc7debc3361ea86b5f14c68d2e2,13141.8,40,41,320.53
261,8b8cfc8305aa441e4239358c9f6f2485,13110.7,15,15,874.05
262,23d7c96d4a1160db1c726b248601b25a,13083.25,52,54,242.28
263,5058e8c1e82653974541e83690655b4a,13077.93,63,78,167.67
264,54965bbe3e4f07ae045b90b0b8541f52,13017.8,77,85,153.15
265,ce27a3cc3c8cc1ea79d11e561e9bebb6,13011.87,135,164,79.34
266,70c27847eca8195c983ed7e798c56743,12998.97,74,95,136.83
267,562fc2f2c2863ab7e79a9e4388a58a14,12995.5,257,267,48.67
268,1da3aeb70d7989d1e6d9b0e887f97c23,12988.05,264,325,39.96
269,66e0557ecc2b4dbea057e93f215f68d8,12977.99,31,31,418.64
270,f262cbc1c910c83959f849465454ddd3,12972.08,191,206,62.97
271,4830e40640734fc1c52cd21127c341d4,12926.73,209,218,59.3
272,7040e82f899a04d1b434b795a43b4617,12900.62,210,226,57.08
273,b4f8921fcc4ff77b66bea6dda43dcd51,12863.41,18,20,643.17
274,dd2bdf855a9172734fbc3744021ae9b9,12853.88,108,113,113.75
275,b499c00f28f4b7069ff6550af8c1348a,12833.17,151,186,69.0
276,ccb83a794700270fde70898fe9ff368b,12785.73,12,12,1065.48
277,fbc14c0cf93505ef89f64665ffa4a7b5,12758.93,18,18,708.83
278,f3b80352b986ab4d1057a4b724be19d0,12692.73,87,92,137.96
279,c9c7905cffc4ef9ff9f113554423e671,12680.35,126,138,91.89
280,d71d863e5ef30d94e440c11be17dcd8f,12655.65,29,36,351.55
281,72c5da29406b4234927b81855e7b64f6,12652.47,31,31,408.14
282,c4f7fee5b0db50e87766f5a4d1b1b758,12533.6,8,9,1392.62
283,7ea5bfa6c340f58f8e71fc1f0412b0d6,12492.04,97,103,121.28
284,7901646fdd36a55f564ffaf2dbccaaf7,12478.83,22,27,462.18
285,1c129092bf23f28a5930387c980c0dfc,12437.7,198,217,57.32
286,82e0a475a88cc9595229d8029273f045,12415.92,42,80,155.2
287,6973a06f484aacf400ece213dbf3d946,12374.62,95,115,107.61
288,c864036feaab8c1659f65ea4faebe1da,12299.77,58,58,212.07
289,33a6f4b1e7cdc205511e76ba1b6e0186,12183.91,105,126,96.7
290,5343d0649eca2a983820bfe93fc4d17e,12145.14,69,108,112.46
291,17ca9b9e9b9ef8fdb529001b49ebb50f,12120.72,116,129,93.96
292,c4d51195486dc781531876a7d00453d8,12038.35,17,17,708.14
293,bba3293d6f5d5af2f415e004e8b93ae3,12028.79,17,17,707.58
294,dd7ddc04e1b6c2c614352b383efe2d36,12019.78,121,142,84.65
295,9d5a9018aee56acb367ba9c3f05d1d6a,11982.21,67,79,151.67
296,31344c16881c08a8a72c6d2eb29918c1,11912.62,43,43,277.04
297,bd23da7354813347129d751591d1a6e2,11909.4,88,89,133.81
298,fffd5413c0700ac820c7069d66d98c89,11896.04,60,61,195.02
299,8b28d096634035667e8263d57ba3368c,11892.18,142,154,77.22
300,4e7c18b98d84e05cbae3ff0ff03846c2,11887.58,81,88,135.09
301,f80edd2c5aaa505cc4b0a3b219abf4b8,11791.93,117,125,94.34
302,01cf7e3d21494c41fb86034f2e714fa1,11738.18,61,67,175.2
303,aaed1309374718fdd995ee4c58c9dfcd,11708.02,105,112,104.54
304,aafe36600ce604f205b86b5084d3d767,11673.2,129,131,89.11
305,32b8764b4ef628b53608fc34011fcc13,11626.94,35,37,314.24
306,36a968b544695394e4e9d7572688598f,11587.15,152,160,72.42
307,9b013e03b2ab786505a1d3b5c0756754,11544.5,172,222,52.0
308,3db66a856d18a9cba7c9241fc5221c50,11522.66,94,97,118.79
309,5656537e588803a555b8eb41f07a944b,11442.96,174,188,60.87
310,9d4db00d65d7760644ac0c14edb5fd86,11386.29,97,99,115.01
311,0df3984f9dfb3d49ac6366acbd3bbb85,11365.91,86,88,129.16
312,92eb0f42c21942b6552362b9b114707d,11341.35,337,360,31.5
313,259f7b5e6e482c230e5bfaa670b6bb8f,11265.25,138,165,68.27
314,6c7d50c24b3ccd2fd83b44d8bb34e073,11253.36,112,126,89.31
315,ea566164622c6b439516ab18062c42cd,11167.98,50,52,214.77
316,81a1104df0f08b59c68aa5b03cfe398e,11105.14,72,72,154.24
317,cbd996ad3c1b7dc71fd0e5f5df9087e2,11099.64,162,193,57.51
318,e5a3438891c0bfdb9394643f95273d8e,11084.21,223,254,43.64
319,1c5e4e49b9079480255b49d50aac1aa9,11062.72,12,12,921.89
320,7b07b3c7487f0ea825fc6df75abd658b,11017.61,92,97,113.58
321,0db783cfcd3b73998abc6e10e59a102f,10941.07,130,135,81.04
322,624f4ece8da4aafb77699233d480f8ef,10927.37,53,55,198.68
323,06532f10282704ef4c69168b914b77be,10918.74,8,9,1213.19
324,18a349e75d307f4b4cc646a691ed4216,10909.56,121,148,73.71
325,7008613ea464bad5cb9b83456e1e6a8f,10711.38,125,154,69.55
326,054694fa03fe82cec4b7551487331d74,10703.75,21,22,486.53
327,5882820ef11c4c068eea0677a7a879b4,10664.81,14,14,761.77
328,b92e3c8f9738272ff7c59e111e108d7c,10645.3,62,70,152.08
329,9596c870880d900012f2e8e6e30d06d7,10615.33,22,24,442.31
330,17306570e772e7718c92a562d33f5f1d,10600.63,29,32,331.27
331,7b1222c3624aa89b9558b50a2594188c,10561.09,22,22,480.05
332,73a63f72308aa20a46f4b1632018f196,10560.44,28,40,264.01
333,a49928bcdf77c55c6d6e05e09a9b4ca5,10470.7,97,105,99.72
334,f27e33c6d29b5138fa9967bcd445b6d5,10443.01,92,97,107.66
335,066a6914e1ebf3ea95a216c73a986b91,10379.62,65,71,146.19
336,048c2757535328e0d7dac690ad3c0aae,10374.8,50,50,207.5
337,cb8bcce248bb1fb274ba762d8b971456,10360.39,66,67,154.63
338,0bae85eb84b9fb3bd773911e89288d54,10338.49,136,145,71.3
339,e96498ed8daaa3e9c23f7a62da76591c,10332.19,34,34,303.89
340,5b8154610ebb21fb90eb587365e673df,10317.23,37,40,257.93
341,febab0275244b9a49a623f0bd613ca2f,10289.17,109,129,79.76
342,8e8a7ce9f2f970dc00e2acf6f6e199f6,10284.82,65,66,155.83
343,b1a81260566c1bac3114a6d124413f27,10250.2,51,54,189.82
344,d98eec89afa3380e14463da2aabaea72,10225.31,168,183,55.88
345,5f2684dab12e59f83bef73ae57724e45,10123.06,68,74,136.8
346,3c487ae8f8d7542beff5788e2e0aea83,10105.35,30,33,306.22
347,961dff0a659b4561334372337dd897d9,10082.56,4,4,2520.64
348,972d0f9cf61b499a4812cf0bfa3ad3c4,10076.99,82,87,115.83
349,05feb94f19d094d4b0f9281f0b1d4c99,10050.04,6,6,1675.01
350,e7df4cd29ab5abab70fb0783ddb53987,10022.07,23,24,417.59
351,7a241947449cc45dbfda4f9d0798d9d0,10018.1,62,72,139.14
352,270297ead4c65a6cd2593960d2af6b21,9968.5,18,20,498.43
353,6d803cb79cc31c41c4c789a75933b3c7,9925.07,58,66,150.38
354,640e21a7d01df7614a3b4923e990d40c,9890.44,114,135,73.26
355,2dee2ce60de9709b1a24083217181a1f,9844.56,54,55,178.99
356,b1fc4f64df5a0e8b6913ab38803c57a9,9784.23,106,117,83.63
357,a00824eb9093d40e589b940ec45c4eb0,9779.46,3,3,3259.82
358,3078096983cf766a32a06257648502d1,9700.9,59,64,151.58
359,4371b634e0efc0e22b09b52907d9d469,9678.79,102,112,86.42
360,ebd2d60905fb58271facef5596b620d3,9675.02,84,88,109.94
361,7d456afc660226829370f3173d14520c,9669.12,54,89,108.64
362,d03698c2efd04a549382afa6623e27fb,9644.62,18,21,459.27
363,6c12e40690c335dbc2f68a4134d30dc1,9624.26,16,18,534.68
364,06df0c10d34e459d9672bc77388742eb,9595.77,26,30,319.86
365,aac29b1b99776be73c3049939652091d,9465.52,98,138,68.59
366,33a17d60c64393351ebf1ef860f4e0f2,9431.86,43,47,200.68
367,8a432f4e5b471f8da497d7dc517666e2,9416.18,94,105,89.68
368,2089a6d640999f9b9141ac719b2af596,9413.61,43,43,218.92
369,750303a20e9c56b2a6bc45cdce0b897d,9394.81,54,57,164.82
370,6c177e38df6d3f34182b1f1d427231bf,9376.53,55,56,167.44
371,db2956745b3a8e9f3785c99f34b5d25e,9355.9,46,47,199.06
372,af4a0e4cfe1d9c26b6712b1be25a72e5,9351.6,21,26,359.68
